Activity name,Activity code 1,Activity code 2,URI
Production of electricity by nuclear,i40.11.c,A_POWN,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWN
Production of electricity by petroleum and other oil derivatives,i40.11.f,A_POWP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWP
Production of electricity by solar photovoltaic,i40.11.h,A_POWS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWS
Production of electricity by solar thermal,i40.11.i,A_POWE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWE
"Production of electricity by tide, wave, ocean",i40.11.j,A_POWO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWO
Production of electricity by wind,i40.11.e,A_POWW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWW
Production of electricity nec,i40.11.l,A_POWZ,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWZ
Production of meat products nec,i15.d,A_POME,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POME
Public administration and defence; compulsory social security (75),i75,A_PADF,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PADF
"Publishing, printing and reproduction of recorded media (22)",i22,A_MDIA,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MDIA
Pulp,i21.1,A_PULP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PULP
Quarrying of sand and clay,i14.2,A_SDCL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_SDCL
Quarrying of stone,i14.1,A_STON,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_STON
Raw milk,i01.n,A_MILK,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MILK
Real estate activities (70),i70,A_REAL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_REAL
"Recreational, cultural and sporting activities (92)",i92,A_RECR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_RECR
Recycling of bottles by direct reuse,i37.w.1,A_BOTW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_BOTW
Recycling of waste and scrap,i37,A_RYMS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_RYMS
Renting of machinery and equipment without operator and of personal and household goods (71),i71,A_MARE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MARE
Re-processing of ash into clinker,i26.d.w,A_ASHW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ASHW
Re-processing of secondary aluminium into new aluminium,i27.42.w,A_ALUW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ALUW
Re-processing of secondary construction material into aggregates,i45.w,A_CONW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CONW
Re-processing of secondary copper into new copper,i27.44.w,A_COPW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COPW
Re-processing of secondary glass into new glass,i26.a.w,A_GLAW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_GLAW
Re-processing of secondary lead into new lead,i27.43.w,A_LZTW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_LZTW
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,i27.45.w,A_ONFW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ONFW
Re-processing of secondary paper into new pulp,i21.w.1,A_PAPR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PAPR
Re-processing of secondary plastic into new plastic,i24.a.w,A_PLAW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PLAW
Re-processing of secondary preciuos metals into new preciuos metals,i27.41.w,A_PREW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PREW
Re-processing of secondary steel into new steel,i27.a.w,A_STEW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_STEW
Re-processing of secondary wood material into new wood material,i20.w,A_WOOW,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WOOW
Research and development (73),i73,A_RESD,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_RESD
Retail sale of automotive fuel,i50.b,A_TDFU,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TDFU
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",i52,A_TDRT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TDRT
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",i50.a,A_TDMO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TDMO
Sea and coastal water transport,i61.1,A_TWAS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TWAS
Steam and hot water supply,i40.3,A_HWAT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_HWAT
Sugar refining,i15.h,A_SUGR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_SUGR
Supporting and auxiliary transport activities; activities of travel agencies (63),i63,A_TAUX,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TAUX
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",i19,A_LETH,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_LETH
Transmission of electricity,i40.12,A_POWT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWT
Transport via pipelines,i60.3,A_TPIP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TPIP
Transport via railways,i60.1,A_TRAI,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TRAI
"Waste water treatment, food",i90.4.a,A_WASF,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WASF
"Waste water treatment, other",i90.4.b,A_WASO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WASO
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",i51,A_TDWH,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TDWH
"Wool, silk-worm cocoons",i01.o,A_WOOL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WOOL
